1231,우리 모두 다 함께,우리 모두 다 함께,
1232,나의 주 크고 놀라운 하나님,나의 주 크고 놀라운,
1233,나를 향한 그 큰 사랑,주님을 부인했던,
1234,주가 보이신 생명의 길,주가 보이신 생명의 길,
1235,나의 노래가 되시는,나의 노래가 되시는,
1236,믿음으로 이겨 나가리 ..,지치고 상한 내 영혼,
1237,희망의 나무,내 삶에 깊은 슬픔이,
1238,그것으로 난 족해요,두 손 모두 놓았어요,
1239,날 다스리소서,나의 입술로 범죄치,
1240,영광의 주님 찬양,영광의 주님 찬양하세,
1241,감사,나는 비록 건강치 못해도,
1242,주께 가까이 (최덕신),주께 가까이 더욱 가까이,
1243,좋은 이웃 축복송,그대를 만난건 주님의,
1244,오 신실하신 주,하나님 한번도 나를,
1245,너는 내 아들이라,힘들고 지쳐,
1246,우리가 걷는 이 길,우리가 걷는 이 길은,
1247,우리 오늘 눈물로,우리 오늘 눈물로,
1248,내가 할 수 있는 것은,내가 할 수 있는 것은,
1249,주님의 성령 지금 이 곳에,주님의 성령 지금 이곳에,
1250,참 기쁘다,아무리 사랑이 좋다,
1251,왜 날 사랑하나?,예수님 날 위해 죽으셨네,
1252,나는 가리라,나는 가리라 영원한 나라,
1253,어머니의 기도,예배당에 처음 간 날,
1254,기도는 만사를 변화시킨다,기도는 만사를 변화,
1255,여호와는 나의 목자 (이은수),여호와는 나의 목자시니 (이은수),
1256,사랑의 송가,천사의 말을 하는 사람도,
1257,주 여호와는 나의 힘,우리들은 여호와를 인하여,
1258,내 평생 사는 동안,내 평생 사는 동안,
1259,나 사는 동안 (소망),나 사는 동안 소망,
1260,축복합니다 (당신을),축복합니다 당신을,
1261,야곱아 이스라엘아,우리가 고난의 바다를,
1262,나 항상 주의 십자가,나 항상 주의 십자가,
1263,내가 엄마 품속에서,내가 엄마 품속에서,
1264,예수 정예군,당신이 어느 족속 어느,
1265,주여 영광 받으소서,마음으로 기쁜 찬송을,
1266,아름다운 마음들이 모여서,아름다운 마음들이,
1267,지금 내 마음 속엔,지금 내 마음 속엔,
1268,우리 하나가 되자,당신은 하나님의 존귀한,
1269,기도하세요 지금,기도하세요 지금 아직,
1270,만남,수많은 사람들과 만남,
1271,시편 8편,여호와 우리 주여,
1272,보혈을 지나,보혈을 지나 하나님,
1273,회복시키소서,잃어버린 나의 눈물을,
1274,살아계신 하나님 (최덕신),살아계신 하나님 역사하는,
1275,평화의 노래,나 어느 날 괴로워서,
1276,예전엔 주님을 몰랐죠,예전에 주님을 몰랐죠,
1277,도우시네 주님이,도우시네 주님이,
1278,위로,나의 마음 약해,
1279,이젠,이젠 주님 앞에 두 손을,
1280,주님을 찬양하라,너 주님의 가시관,
1281,이 산지를 내게 주소서,주님이 주신 땅으로,
1282,주의 이름 높이며,주의 이름 높이며,
1283,거룩하신 주 앞에,거룩하신 주 앞에 찬양,
1284,호산나 찬양,사랑의 주 평화의 주님,
1285,가서 제사 삼으라,갈릴리 마을 그 숲 속에서,
1286,영원하신 나의 목자,나를 사랑하시는 주님,
1287,부어주소서 주님의,부어주소서 주님의,
1288,내가 너와 함께 있어,아무도 알지 못하는,
1289,예수께 오라,어둠 속에서 울고있는 자,
1290,너의 푸른 가슴 속에,너의 푸른 가슴속에,
1291,주님 손잡고 일어서세요,왜 나만 겪는 고난이냐고,
1292,내가 져야 할 십자가,내가 져야 할 십자가,
1293,지금은 엘리야 때처럼,지금은 엘리아 때처럼,
1294,성령의 비가 내리네,성령의 비가 내리네,
1295,할렐루야 찬송합시다,언제나 즐거웁게,
1296,성령님 인정합니다,성령님 인정합니다,
1297,골고다 언덕 붉게 물든,골고다 언덕아래,
1298,십자가를 바라본 순간,십자가를 바라본 순간,
1299,능력의 나의 주님,동남풍이 불어와도,
1300,주여 진실하게 하소서,주여 진실하게 하소서,
1301,베드로의 고백,사랑하는 주님 내게,
1302,주님 예수 나의 동산,주님 예수 나의 동산,
1303,주의 이름 송축하리,주의 이름 송축하리,
1304,주님의 영광이 임하셔서,주님의 영광이 임하여서,
1305,너무 멀리 왔나요,너무 멀리 왔나요,
1306,우리 함께 기도해,우리 함께 기도해,
1307,찬양의 제사 드리며,주의 이름 안에서,
1308,내 영 자유케 하소서,내 영 자유케 하소서,
1309,오직 예수 (강태원),죄 많은 이 몸 불쌍한 영혼,
1310,내게 오라,죄에 빠져 헤매이다가,
1311,우리 모두 주 찬양,손을 높이 들고 입을,
1312,귀하신 주 보혈,주님의 보혈로 날 씻어,
1313,두려워 말라,두려워 말라 주님은,
1314,나를 받으옵소서,주님 내가 여기 있사오니,
1315,세상에 부귀도,세상의 부귀도 세상에,
1316,나의 마음 나의 생각,나의 마음 나의 생각,
1317,주님 궁정으로 들어가리,주님 궁정으로 들어가리,
1318,예수 전하세,예수님 가신 길 골고다의,
1319,소망,푸른 초장에 날 누이고,
1320,열어주소서,열어주소서 열어주소서,
1321,주님을 사랑하리라,세상은 날 유혹하지만,
1322,예수 오직 주님,슬픔으로 낙심될 때,
1323,내가 천사의 말 한다 해도,내가 천사의 말한다 해도,
1324,나와 같은 죄인들의 친구,나와 같은 죄인들의,
1325,정직하라,나는 거짓을 기뻐할 수,
1326,십자가의 길,한걸음 또 한걸음,
1327,나 주만 따르리라,나 주만 따르리라,
1328,폭풍 같은 환란이 올 때,폭풍 같은 환란이 올 때,
1329,영의 눈을 뜨고 보자,눈을 뜨고 세상 보니,
1330,내 영혼의 구세주,내 영혼의 구세주,
1331,행복해 질 수 있어요,우리는 언제나,
1332,누구 때문에,누구 때문에 주님 십자가,
1333,에바다,어두워진 세상 길을,
1334,하나님이 창조하신,하나님이 창조하신 (윤용섭),
1335,예수 사랑해요,예수 사랑해요 나 주께,
1336,땅 끝까지 이르러,날이 갈수록 어두워진,
1337,하나님 참사랑,하나님의 참 사랑은,
1338,약속의 땅,주님 손 붙잡고 가는,
1339,존귀하신 예수,존귀하신 예수 존귀하신,
1340,찬양 찬양,무릎 꿇고 주를 경배,
1341,고난이 유익이라,네 짐이 무겁고 힘이,
1342,나의 사랑하는 주님,나의 사랑하는 주님 나를,
1343,주님 사랑해요,날마다 기도하는 삶,
1344,오늘 이 하루가,오늘 이 하루가,
